Lower.Super.Output.Area,Names,Mid.year.Population.Estimates.All.Ages.2011,Mid.year.Population.Estimates.Aged.0.15.2011,Mid.year.Population.Estimates.Aged.16.29.2011,Mid.year.Population.Estimates.Aged.30.44.2011,Mid.year.Population.Estimates.Aged.45.64.2011,Mid.year.Population.Estimates.Aged.65..2011,Mid.year.Population.Estimates.Working.age.2011,X2011.Census.Population.Age.Structure.All.Ages,Population.Density.Area..Hectares..,Ethnic.Group.White.....2011,Ethnic.Group.Mixed.multiple.ethnic.groups.....2011,Ethnic.Group.Asian.Asian.British.....2011,Ethnic.Group.Black.African.Caribbean.Black.British.....2011,Ethnic.Group.Other.ethnic.group.....2011,Ethnic.Group.BAME.....2011,Public.Transport.Accessibility.Levels..2014....0.1..poor.access.,Public.Transport.Accessibility.Levels..2014....2.3..average.access.,pop_density_2011
E01000027,Barking and Dagenham 001A,1710,470,316,350,345,229,1011,1709,147.5,71.7,5.4,9.2,13.3,0.4,28.3,69.2,30.8,11.59322034
E01000028,Barking and Dagenham 001B,1553,418,318,330,268,219,916,1549,14.4,57.9,5.2,13.9,21.7,1.3,42.1,100,0,107.8472222
E01000029,Barking and Dagenham 001C,1591,286,246,294,328,437,868,1602,25.7,63.9,2.6,18.7,13.2,1.7,36.1,87.1,12.9,61.90661479
E01000030,Barking and Dagenham 001D,1929,580,393,418,333,205,1144,1915,28.6,65.7,6.1,7.7,18.7,1.8,34.3,63.6,36.4,67.44755245
E01000031,Barking and Dagenham 002A,1617,351,293,334,409,230,1036,1617,84.4,49.8,5,26.5,15.8,2.9,50.2,28.2,71.8,19.15876777
E01000032,Barking and Dagenham 002B,1641,357,331,356,361,236,1048,1629,37.6,62.3,3.8,19.2,12.6,2.1,37.7,46.6,52.3,43.64361702
E01000110,Barking and Dagenham 002C,1418,297,268,295,363,195,926,1416,19.5,55.4,3.8,22.2,16.4,2.1,44.6,29.8,70.2,72.71794872
E01000111,Barking and Dagenham 002D,1846,446,377,406,371,246,1154,1833,29.7,61,3.8,16.7,16.8,1.6,39,54.5,45.5,62.15488215
E01000112,Barking and Dagenham 002E,1881,404,417,482,376,202,1275,1871,27.8,49.9,5,25.7,17.7,1.8,50.1,0,92.2,67.6618705
E01000113,Barking and Dagenham 002F,1685,402,283,436,391,173,1110,1679,15.4,49.3,4.3,26.3,17.1,3,50.7,0,79.9,109.4155844
E01000034,Barking and Dagenham 003A,1436,312,263,258,332,271,853,1444,51.4,76.5,2.3,4.5,16.2,0.6,23.5,100,0,27.93774319
E01000037,Barking and Dagenham 003B,1703,263,468,294,458,220,1220,1688,23.3,83.4,2.7,4.4,9,0.5,16.6,85.4,14.6,73.09012876
E01000038,Barking and Dagenham 003C,1443,285,259,242,387,270,888,1447,21.4,83.5,2.5,6.3,7.4,0.3,16.5,2.5,97.5,67.42990654
E01000039,Barking and Dagenham 003D,1603,322,299,368,365,249,1032,1603,153.2,80.2,4.4,5.2,9.7,0.4,19.8,100,0,10.46344648
E01000063,Barking and Dagenham 004A,1629,423,309,367,337,193,1013,1620,18.1,73.7,3.3,7.8,14.3,0.9,26.3,0,100,90
E01000100,Barking and Dagenham 004B,1656,456,284,399,338,179,1021,1653,21.2,70.2,4,10.7,13.7,1.5,29.8,64.3,35.7,78.11320755
E01000101,Barking and Dagenham 004C,1519,368,276,362,347,166,985,1513,16.4,70.6,2.8,9.7,15.9,1,29.4,11.3,88.7,92.62195122
E01000109,Barking and Dagenham 004D,1691,411,345,382,374,179,1101,1686,37.5,60.6,4.2,18.4,16,0.8,39.4,64.1,35.9,45.09333333
E01000114,Barking and Dagenham 004E,2093,543,391,476,448,235,1315,2090,25.6,58.9,3.8,13.8,22.9,0.7,41.1,47.9,52.1,81.7578125
E01000033,Barking and Dagenham 006A,1366,365,273,277,294,157,844,1361,14.5,76,3.8,3.7,15.9,0.6,24,99.3,0.7,94.20689655
E01000060,Barking and Dagenham 006B,1814,499,305,416,350,244,1071,1809,55,65.9,2.8,7.1,23.2,0.9,34.1,60.6,39.4,32.98181818
E01000061,Barking and Dagenham 006C,1792,589,494,375,270,64,1139,1776,61.1,64.5,4.4,5,25,1.2,35.5,0.2,99.8,29.3289689
E01000062,Barking and Dagenham 006D,1954,484,354,406,442,268,1202,1952,22.1,64.4,3.2,8.4,23.9,0.1,35.6,77.2,22.8,88.41628959
E01000064,Barking and Dagenham 006E,1897,455,370,380,401,291,1151,1893,20.9,67.4,3.4,5,23.8,0.4,32.6,92.6,7.4,90.76555024
E01000065,Barking and Dagenham 007A,1734,393,304,402,346,289,1052,1736,23.4,71.3,3.2,6.3,18,1.3,28.7,24,76,74.1025641
E01000078,Barking and Dagenham 007B,1681,447,372,336,357,169,1065,1666,17.6,69.1,4.6,9.7,15.4,1.2,30.9,11.1,88.9,95.51136364
E01000080,Barking and Dagenham 007C,1565,398,310,359,321,177,990,1556,23.1,69.2,5.1,5.8,18.6,1.3,30.8,22.5,77.5,67.74891775
E01000081,Barking and Dagenham 007D,1698,422,319,351,414,192,1084,1688,18.6,68.3,3.3,6.9,20,1.5,31.7,58.3,41.7,91.29032258
E01000082,Barking and Dagenham 007E,1686,455,300,429,341,161,1070,1683,16.1,71,3.5,7.5,17.1,0.9,29,63.5,36.5,104.7204969
E01000083,Barking and Dagenham 007F,1703,459,310,405,331,198,1046,1700,18,67.8,4.4,9.3,17,1.5,32.2,4.4,95.6,94.61111111
E01000102,Barking and Dagenham 007G,1549,386,269,364,333,197,966,1540,25.3,70.8,4.9,7.9,15.5,0.9,29.2,31.4,68.6,61.22529644
E01000021,Barking and Dagenham 008A,1588,384,387,378,311,128,1076,1579,16.9,54.1,5.4,19.8,19.6,1.1,45.9,56,44,93.96449704
E01000022,Barking and Dagenham 008B,1315,351,262,298,288,116,848,1314,12.8,63.5,5.3,11.1,19.4,0.7,36.5,10,90,102.734375
E01000023,Barking and Dagenham 008C,1130,242,263,308,205,112,776,1112,20.7,55.4,4.4,21.2,17.1,1.9,44.6,7.4,92.6,54.58937198
E01000024,Barking and Dagenham 008D,1342,365,265,315,279,118,859,1336,12.9,55.9,4.3,16.2,21.5,2,44.1,0,100,104.0310078
E01000025,Barking and Dagenham 008E,1609,389,316,373,368,163,1057,1609,15.3,69.2,4.5,10.6,15.2,0.4,30.8,5.7,94.3,105.1633987
E01000077,Barking and Dagenham 008F,1452,342,277,377,304,152,958,1445,17.4,67.1,2.1,9.5,20.4,0.8,32.9,0,100,83.44827586
E01000015,Barking and Dagenham 009A,2271,680,495,568,378,150,1441,2241,28.1,66.5,3.3,6.9,21.4,1.9,33.5,25.3,74.3,80.81850534
E01000016,Barking and Dagenham 009B,1646,423,303,362,370,188,1035,1637,19.9,70.5,3.2,7.1,18.1,1,29.5,55.6,44.4,82.71356784
E01000017,Barking and Dagenham 009C,1602,399,309,374,359,161,1042,1594,15.8,69.4,3.2,6.9,19.4,1.1,30.6,3.7,96.3,101.3924051
E01000018,Barking and Dagenham 009D,1608,435,276,389,335,173,1000,1597,17.4,71.6,3.2,7.3,17.5,0.4,28.4,26.5,72.4,92.4137931
E01000079,Barking and Dagenham 009E,1553,417,277,313,331,215,921,1546,31,69.1,3.3,9.1,17.8,0.7,30.9,41.9,58.1,50.09677419
E01000035,Barking and Dagenham 010A,1613,369,324,320,374,226,1018,1610,39.7,67.1,3.7,9.9,18.4,0.9,32.9,17.9,82.1,40.62972292
E01000036,Barking and Dagenham 010B,1354,302,262,299,339,152,900,1353,41.9,57.9,2.4,17.9,21.4,0.3,42.1,0,100,32.3150358
E01000107,Barking and Dagenham 010C,1665,391,281,314,402,277,997,1666,53.6,71.3,2.5,8.5,16.8,0.9,28.7,75.6,24.4,31.06343284
E01000108,Barking and Dagenham 010D,1556,329,319,344,381,183,1044,1558,24.2,67.7,4.3,8.9,18,1.2,32.3,2.9,97.1,64.29752066
E01000066,Barking and Dagenham 011A,1941,492,416,411,415,207,1242,1928,24.5,47.7,4,36.8,9.3,2.3,52.3,68.3,31.7,79.2244898
E01000067,Barking and Dagenham 011B,1985,453,440,409,453,230,1302,1969,19.3,46.4,2.4,36.4,12.8,1.9,53.6,36.7,63.3,102.8497409
E01000069,Barking and Dagenham 011C,1777,410,419,346,421,181,1186,1763,20.1,45.9,4.7,41.6,6.1,1.8,54.1,7.6,92.4,88.4079602
E01000070,Barking and Dagenham 011D,1987,412,470,417,409,279,1296,1975,39.2,42,5.9,43,7.6,1.5,58,0,93.7,50.68877551
E01000071,Barking and Dagenham 011E,2272,540,506,528,427,271,1461,2253,27.1,38.5,4.6,41.4,12.5,3.1,61.5,13,87,83.83763838
E01000057,Barking and Dagenham 012A,1505,440,274,355,295,141,924,1496,14.8,64.9,5,5.7,22.7,1.6,35.1,6.2,93.8,101.6891892
E01000073,Barking and Dagenham 012B,1618,437,279,408,309,185,996,1619,28.5,70.8,4.1,9.1,14.9,1.1,29.2,100,0,56.77192982
E01000074,Barking and Dagenham 012C,1577,438,305,363,309,162,977,1567,16.4,72,5.4,4.9,16.5,1.1,28,60.1,39.9,96.15853659
E01000075,Barking and Dagenham 012D,1738,436,308,385,395,214,1088,1732,51.7,73,4.8,7.9,13.7,0.5,27,0,100,33.61702128
E01000076,Barking and Dagenham 012E,1994,607,347,468,390,182,1205,1988,19.1,64.3,3.2,10.5,20.8,1.2,35.7,57.5,42.5,104.3979058
E01000013,Barking and Dagenham 013A,1668,417,308,366,357,220,1031,1660,20.8,68.6,4,9.9,17.1,0.3,31.4,0.6,81.6,80.19230769
E01000014,Barking and Dagenham 013B,1667,406,348,359,364,190,1071,1656,34.1,75,4,4.9,15.1,1,25,19,81,48.8856305
E01000059,Barking and Dagenham 013C,1581,407,276,357,357,184,990,1582,20.8,73.5,4.1,4.1,17.5,0.8,26.5,44.1,55.9,76.00961538
E01000084,Barking and Dagenham 013D,1358,367,247,321,290,133,858,1355,15,70.4,3.9,7.4,17.6,0.7,29.6,0,88.2,90.53333333
E01000085,Barking and Dagenham 013E,1720,479,340,353,375,173,1068,1718,14.5,68.8,3.4,5.6,17.6,4.5,31.2,0,86.2,118.6206897
E01000086,Barking and Dagenham 013F,1439,380,286,315,312,146,913,1431,14,66.2,3.6,8.5,20.8,0.8,33.8,0,100,102.7857143
E01000103,Barking and Dagenham 014A,1694,445,371,398,350,130,1119,1685,70.1,59.4,4.1,6.4,28.1,2.1,40.6,77.9,22.1,24.16547789
E01000104,Barking and Dagenham 014B,1796,500,404,403,350,139,1157,1781,22,63.6,3.8,5.8,25.5,1.2,36.4,8.6,91.4,81.63636364
E01000105,Barking and Dagenham 014C,2148,543,439,486,412,268,1337,2129,22.1,67.3,5.3,5.1,21.5,0.8,32.7,6.9,79.4,97.19457014
E01000106,Barking and Dagenham 014D,1989,508,410,461,392,218,1263,1968,21.9,61.9,4.7,5.6,26.8,0.9,38.1,76.4,23.6,90.82191781
E01000007,Barking and Dagenham 015A,1417,349,413,424,173,58,1010,1391,20,31.6,6.3,32.1,28,2,68.4,0,0,70.85
E01000008,Barking and Dagenham 015B,1569,513,406,392,217,41,1015,1544,19.5,31.4,5.4,22.6,37.2,3.4,68.6,41.4,43.8,80.46153846
E01000010,Barking and Dagenham 015C,2889,662,951,892,297,87,2140,2840,35.2,28.6,5.2,42.4,20.4,3.3,71.4,0,0,82.07386364
E01000012,Barking and Dagenham 015D,1943,584,483,590,229,57,1302,1901,13.9,28.1,6.2,35.5,27.9,2.3,71.9,37.3,13.4,139.7841727
E01000006,Barking and Dagenham 016A,1731,401,416,475,304,135,1195,1703,14.7,32.7,3.4,50.6,10.4,2.9,67.3,0,10.6,117.755102
E01000009,Barking and Dagenham 016B,1798,317,524,449,328,180,1301,1773,12.8,23.8,3.5,57.1,12.9,2.8,76.2,0,0,140.46875
E01000011,Barking and Dagenham 016C,1655,363,520,405,277,90,1202,1634,9.2,21.2,1.7,65.5,8.8,2.9,78.8,0,0,179.8913043
E01000044,Barking and Dagenham 016D,1812,460,385,466,340,161,1191,1798,17.1,43.5,6.6,26.7,22,1.3,56.5,35.1,58.6,105.9649123
E01000068,Barking and Dagenham 016E,1605,334,443,303,355,170,1101,1590,34,34.6,2.1,53.8,7.7,1.8,65.4,8.8,42.2,47.20588235
E01000041,Barking and Dagenham 017A,1687,460,295,427,355,150,1077,1682,15.3,66.9,3.9,6.7,21.3,1.2,33.1,53.9,46.1,110.2614379
E01000042,Barking and Dagenham 017B,1803,517,430,420,288,148,1138,1788,23.1,54.3,5.3,18,20,2.4,45.7,24.6,75.4,78.05194805
E01000045,Barking and Dagenham 017C,1659,456,340,387,334,142,1061,1650,29.8,59.1,6.1,8.9,24.4,1.6,40.9,36.4,63.6,55.67114094
E01000046,Barking and Dagenham 017D,1785,502,293,449,381,160,1123,1779,15.6,73.6,3.5,6.1,15.1,1.6,26.4,47.3,52.7,114.4230769
E01000072,Barking and Dagenham 017E,2006,547,446,437,355,221,1238,1991,52,66.4,4.6,8.7,19.1,1.1,33.6,100,0,38.57692308
E01000054,Barking and Dagenham 018A,1731,459,292,409,371,200,1072,1718,17.1,71.2,2.9,6.3,18.8,0.7,28.8,24.6,75.4,101.2280702
E01000055,Barking and Dagenham 018B,1564,388,319,361,355,141,1035,1553,14.6,69.7,4.1,9,16.7,0.5,30.3,16.9,83.1,107.1232877
E01000056,Barking and Dagenham 018C,1594,447,296,399,289,163,984,1584,24.4,67.6,3.9,7.7,19.8,1.1,32.4,98.9,1.1,65.32786885
E01000058,Barking and Dagenham 018D,1864,491,366,476,373,158,1215,1849,18.2,59.9,5,10.3,23.3,1.5,40.1,17.9,82.1,102.4175824
E01000095,Barking and Dagenham 018E,1584,468,288,435,276,117,999,1572,229.5,51.1,3.6,11.9,31.8,1.6,48.9,100,0,6.901960784
E01000040,Barking and Dagenham 019A,1579,379,307,379,337,177,1023,1569,17.1,57.4,4,17.8,18.3,2.4,42.6,9.5,90.5,92.33918129
E01000043,Barking and Dagenham 019B,1370,355,257,321,256,181,834,1358,26.6,52.6,3,27.7,14.7,2,47.4,47.3,52.7,51.5037594
E01000050,Barking and Dagenham 019C,1678,451,369,374,294,190,1037,1661,13.8,38.5,5.2,35,18.1,3.2,61.5,0,58.6,121.5942029
E01000052,Barking and Dagenham 019D,2039,530,400,522,385,202,1307,2014,20,46.5,4.9,25.5,21.5,1.6,53.5,9,91,101.95
E01000092,Barking and Dagenham 019E,2694,751,567,691,457,228,1715,2674,264.5,41.5,4.7,21.2,29.7,3,58.5,55.8,44.2,10.1852552
E01000053,Barking and Dagenham 020A,1493,371,280,367,316,159,963,1485,18.1,60.5,4,7.9,27,0.5,39.5,59.7,40.3,82.48618785
E01000087,Barking and Dagenham 020B,1348,341,259,307,312,129,878,1341,37.3,65.6,4,5.1,24.5,0.7,34.4,41.9,58.1,36.13941019
E01000088,Barking and Dagenham 020C,1840,467,349,414,365,245,1128,1828,22.6,53,3.2,12.5,30.5,0.8,47,59,41,81.4159292
E01000089,Barking and Dagenham 020D,1676,459,346,332,394,145,1072,1666,14.6,59.5,5.5,5.8,28.1,1.1,40.5,68.7,31.3,114.7945205
E01000090,Barking and Dagenham 020E,1594,457,302,340,354,141,996,1584,195.5,51.1,3.7,13.1,29.2,3,48.9,39.4,60.6,8.153452685
E01000048,Barking and Dagenham 021B,1795,655,356,464,247,73,1067,1783,6.5,37.1,5.9,13,41.5,2.5,62.9,41.9,58.1,276.1538462
E01000049,Barking and Dagenham 021C,1832,653,330,475,256,118,1061,1820,21.2,37.5,6.8,14.7,37.3,3.7,62.5,37.8,62.2,86.41509434
E01000051,Barking and Dagenham 021D,1945,657,414,530,294,50,1238,1927,6.7,35.6,5,16.9,37.7,4.8,64.4,0,56.8,290.2985075
E01033587,Barking and Dagenham 021E,1665,483,398,543,194,47,1135,1630,26.6,43.3,4.4,21.4,28.3,2.5,56.7,26,74,62.59398496
E01033588,Barking and Dagenham 021F,1636,524,322,504,210,76,1036,1617,14,38.3,6.2,18.9,33.5,3.2,61.7,50.8,45.7,116.8571429
E01000091,Barking and Dagenham 022A,1722,549,336,376,305,156,1017,1714,24.6,49.8,3.8,14.1,30.4,1.9,50.2,91.9,8.1,70
E01000093,Barking and Dagenham 022B,1564,442,353,384,276,109,1013,1547,29.4,51.1,5.8,10.2,31.4,1.5,48.9,85.5,14.5,53.19727891
E01000094,Barking and Dagenham 022C,1338,402,267,478,165,26,910,1326,60.3,34.2,6.7,15.3,42.6,1.1,65.8,87.6,12.4,22.18905473
E01000096,Barking and Dagenham 022D,1903,658,424,434,288,99,1146,1895,60.2,43.8,4.4,9.6,40.4,1.8,56.2,90.5,9.5,31.61129568
E01000019,Barking and Dagenham 023A,1410,378,264,305,326,137,895,1407,18.4,55.7,5,21.1,15.1,3.1,44.3,39.8,60.2,76.63043478
E01000020,Barking and Dagenham 023B,1843,475,329,471,350,218,1150,1834,18.7,65,3.8,11.3,18.7,1.1,35,3.6,96.4,98.55614973
E01000097,Barking and Dagenham 023C,1679,409,275,390,307,298,972,1683,17.9,68.6,4.4,13.5,11.9,1.6,31.4,0,92.4,93.79888268
E01000098,Barking and Dagenham 023D,1752,468,345,407,372,160,1124,1746,17.5,60.9,5.4,17.6,15.1,1,39.1,0,100,100.1142857
E01000099,Barking and Dagenham 023E,1736,451,329,406,359,191,1094,1732,31,70.3,4.8,11.4,12.5,0.9,29.7,1.8,98.2,56
E01032580,Barking and Dagenham 023F,1361,360,334,331,239,97,904,1354,12.8,47.9,3.6,31.1,15.2,2.2,52.1,0,100,106.328125
