Lower.Super.Output.Area,Names,Tombolo_SI_Index
E01000027,Barking and Dagenham 001A,1.5264
E01000028,Barking and Dagenham 001B,1.7023
E01000029,Barking and Dagenham 001C,1.3244
E01000030,Barking and Dagenham 001D,1.6599
E01000031,Barking and Dagenham 002A,1.0109
E01000032,Barking and Dagenham 002B,1.2221
E01000110,Barking and Dagenham 002C,0.90245
E01000111,Barking and Dagenham 002D,1.3525
E01000112,Barking and Dagenham 002E,1.1422
E01000113,Barking and Dagenham 002F,1.0643
E01000034,Barking and Dagenham 003A,1.5627
E01000037,Barking and Dagenham 003B,0.72773
E01000038,Barking and Dagenham 003C,1.0983
E01000039,Barking and Dagenham 003D,1.0506
E01000063,Barking and Dagenham 004A,1.351
E01000100,Barking and Dagenham 004B,1.3759
E01000101,Barking and Dagenham 004C,1.4493
E01000109,Barking and Dagenham 004D,1.0469
E01000114,Barking and Dagenham 004E,1.0796
E01000033,Barking and Dagenham 006A,1.5131
E01000060,Barking and Dagenham 006B,1.4741
E01000061,Barking and Dagenham 006C,1.7267
E01000062,Barking and Dagenham 006D,1.4222
E01000064,Barking and Dagenham 006E,1.4702
E01000065,Barking and Dagenham 007A,1.8355
E01000078,Barking and Dagenham 007B,1.4628
E01000080,Barking and Dagenham 007C,1.5136
E01000081,Barking and Dagenham 007D,1.315
E01000082,Barking and Dagenham 007E,1.4272
E01000083,Barking and Dagenham 007F,1.4563
E01000102,Barking and Dagenham 007G,1.4682
E01000021,Barking and Dagenham 008A,1.4666
E01000022,Barking and Dagenham 008B,1.2105
E01000023,Barking and Dagenham 008C,1.3944
E01000024,Barking and Dagenham 008D,1.2802
E01000025,Barking and Dagenham 008E,1.3928
E01000077,Barking and Dagenham 008F,1.4995
E01000015,Barking and Dagenham 009A,1.364
E01000016,Barking and Dagenham 009B,1.351
E01000017,Barking and Dagenham 009C,1.4688
E01000018,Barking and Dagenham 009D,1.3857
E01000079,Barking and Dagenham 009E,1.5842
E01000035,Barking and Dagenham 010A,1.1732
E01000036,Barking and Dagenham 010B,0.89971
E01000107,Barking and Dagenham 010C,1.1523
E01000108,Barking and Dagenham 010D,1.1273
E01000066,Barking and Dagenham 011A,1.1849
E01000067,Barking and Dagenham 011B,1.0258
E01000069,Barking and Dagenham 011C,0.71629
E01000070,Barking and Dagenham 011D,0.89679
E01000071,Barking and Dagenham 011E,1.0997
E01000057,Barking and Dagenham 012A,1.342
E01000073,Barking and Dagenham 012B,1.3957
E01000074,Barking and Dagenham 012C,1.4739
E01000075,Barking and Dagenham 012D,1.3518
E01000076,Barking and Dagenham 012E,1.4755
E01000013,Barking and Dagenham 013A,1.5008
E01000014,Barking and Dagenham 013B,1.4386
E01000059,Barking and Dagenham 013C,1.4742
E01000084,Barking and Dagenham 013D,1.4511
E01000085,Barking and Dagenham 013E,1.5375
E01000086,Barking and Dagenham 013F,1.3547
E01000103,Barking and Dagenham 014A,1.3712
E01000104,Barking and Dagenham 014B,1.5179
E01000105,Barking and Dagenham 014C,1.7158
E01000106,Barking and Dagenham 014D,1.6438
E01000007,Barking and Dagenham 015A,1.463
E01000008,Barking and Dagenham 015B,1.5276
E01000010,Barking and Dagenham 015C,1.2705
E01000012,Barking and Dagenham 015D,1.26
E01000006,Barking and Dagenham 016A,0.98518
E01000009,Barking and Dagenham 016B,1.4257
E01000011,Barking and Dagenham 016C,1.1551
E01000044,Barking and Dagenham 016D,1.1869
E01000068,Barking and Dagenham 016E,0.8386
E01000041,Barking and Dagenham 017A,1.8355
E01000042,Barking and Dagenham 017B,1.584
E01000045,Barking and Dagenham 017C,1.3876
E01000046,Barking and Dagenham 017D,1.312
E01000072,Barking and Dagenham 017E,1.6567
E01000054,Barking and Dagenham 018A,1.3664
E01000055,Barking and Dagenham 018B,1.2725
E01000056,Barking and Dagenham 018C,1.4456
E01000058,Barking and Dagenham 018D,1.3198
E01000095,Barking and Dagenham 018E,1.151
E01000040,Barking and Dagenham 019A,1.6102
E01000043,Barking and Dagenham 019B,1.4076
E01000050,Barking and Dagenham 019C,1.5403
E01000052,Barking and Dagenham 019D,1.3802
E01000092,Barking and Dagenham 019E,1.3636
E01000053,Barking and Dagenham 020A,1.6447
E01000087,Barking and Dagenham 020B,1.4103
E01000088,Barking and Dagenham 020C,1.2168
E01000089,Barking and Dagenham 020D,1.0538
E01000090,Barking and Dagenham 020E,1.0604
E01000048,Barking and Dagenham 021B,1.7621
E01000049,Barking and Dagenham 021C,1.5989
E01000051,Barking and Dagenham 021D,1.6771
E01033587,Barking and Dagenham 021E,1.4378
E01033588,Barking and Dagenham 021F,1.5197
E01000091,Barking and Dagenham 022A,1.6336
E01000093,Barking and Dagenham 022B,1.7087
E01000094,Barking and Dagenham 022C,0.99662
E01000096,Barking and Dagenham 022D,1.5436
E01000019,Barking and Dagenham 023A,1.292
E01000020,Barking and Dagenham 023B,1.3742
E01000097,Barking and Dagenham 023C,1.7134
E01000098,Barking and Dagenham 023D,1.4448
E01000099,Barking and Dagenham 023E,1.3243
E01032580,Barking and Dagenham 023F,1.3599