Lower.Super.Output.Area,work
E01000027,328.00
E01000028,58.00
E01000029,30.00
E01000030,96.00
E01000031,270.00
E01000032,497.00
E01000110,83.00
E01000111,806.00
E01000112,352.00
E01000113,206.00
E01000034,497.00
E01000037,119.00
E01000038,195.00
E01000039,50.00
E01000063,54.00
E01000100,113.00
E01000101,102.00
E01000109,108.00
E01000114,336.00
E01000033,22.00
E01000060,438.00
E01000061,1755.00
E01000062,74.00
E01000064,218.00
E01000065,662.00
E01000078,142.00
E01000080,212.00
E01000081,9.00
E01000082,112.00
E01000083,31.00
E01000102,138.00
E01000021,148.00
E01000022,6.00
E01000023,65.00
E01000024,29.00
E01000025,28.00
E01000077,131.00
E01000015,300.00
E01000016,102.00
E01000017,78.00
E01000018,101.00
E01000079,160.00
E01000035,1236.00
E01000036,136.00
E01000107,141.00
E01000108,169.00
E01000066,376.00
E01000067,15.00
E01000069,33.00
E01000070,202.00
E01000071,203.00
E01000057,150.00
E01000073,105.00
E01000074,147.00
E01000075,124.00
E01000076,48.00
E01000013,341.00
E01000014,42.00
E01000059,132.00
E01000084,137.00
E01000085,196.00
E01000086,106.00
E01000103,86.00
E01000104,42.00
E01000105,277.00
E01000106,296.00
E01000007,1218.00
E01000008,619.00
E01000010,3156.00
E01000012,57.00
E01000006,41.00
E01000009,333.00
E01000011,32.00
E01000044,117.00
E01000068,226.00
E01000041,5.00
E01000042,71.00
E01000045,263.00
E01000046,3.00
E01000072,76.00
E01000054,151.00
E01000055,12.00
E01000056,275.00
E01000058,15.00
E01000095,2179.00
E01000040,180.00
E01000043,268.00
E01000050,129.00
E01000052,116.00
E01000092,2560.00
E01000053,150.00
E01000087,2262.00
E01000088,369.00
E01000089,19.00
E01000090,306.00
E01000048,85.00
E01000049,161.00
E01000051,179.00
E01033587,606.00
E01033588,356.00
E01000091,208.00
E01000093,351.00
E01000094,351.00
E01000096,723.00
E01000019,186.00
E01000020,106.00
E01000097,91.00
E01000098,153.00
E01000099,561.00
E01032580,279.00